Date,CSIQ,FSLR,ENPH,DQ,JKS,SEDG,SPWR
2020-01-02,22.52,57.240002,29.34,10.996,23.84,101.809998,5.127701
2020-01-03,21.799999,57.02,29.290001,10.89,22.59,102.379997,4.826457
2020-01-06,22.32,55.830002,29.66,10.77,22.49,99.629997,4.891945
2020-01-07,22.360001,56.669998,29.99,10.672,22.74,101.790001,5.003274
2020-01-08,22.57,56.700001,31.0,10.876,22.23,104.160004,5.02947
2020-01-09,22.889999,56.700001,31.59,11.134,22.780001,102.739998,5.166994
2020-01-10,22.549999,56.5,30.67,11.212,22.540001,104.519997,5.068762
2020-01-13,23.059999,57.439999,30.790001,11.888,23.09,103.080002,5.507531
2020-01-14,23.450001,58.779999,30.200001,11.786,24.35,104.019997,5.664702
2020-01-15,23.280001,54.75,30.16,11.014,23.200001,103.610001,5.651604
2020-01-16,23.02,53.93,30.83,10.73,22.620001,102.699997,5.756385
2020-01-17,22.41,53.52,31.5,10.726,22.83,104.75,5.743287
2020-01-21,22.01,51.549999,31.26,11.084,22.209999,107.529999,5.743287
2020-01-22,21.77,50.560001,31.620001,10.618,21.200001,108.459999,5.710544
2020-01-23,21.389999,52.02,32.07,10.472,20.719999,108.730003,5.933202
2020-01-24,21.08,51.939999,32.700001,10.262,20.389999,110.129997,5.749836
2020-01-27,20.209999,50.490002,29.950001,10.076,19.389999,96.25,5.494434
2020-01-28,20.719999,51.110001,32.240002,10.194,19.66,103.360001,5.671251
2020-01-29,20.5,50.900002,32.560001,10.656,19.6,102.709999,5.671251
2020-01-30,20.5,50.720001,33.490002,10.452,19.440001,103.220001,5.717092
2020-01-31,20.049999,49.580002,31.52,10.116,18.700001,97.860001,5.579568
2020-02-03,20.620001,50.240002,32.919998,10.378,19.360001,100.980003,5.749836
2020-02-04,21.299999,52.669998,36.900002,11.496,20.51,107.809998,6.077276
2020-02-05,21.66,53.099998,36.91,11.656,21.540001,104.470001,6.240995
2020-02-06,21.85,52.650002,38.389999,12.548,22.25,103.940002,6.411264
2020-02-07,21.219999,52.459999,38.049999,11.55,21.639999,100.620003,6.234447
2020-02-10,21.370001,52.75,38.610001,11.574,21.690001,102.599998,6.221349
