Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,10.240000,11.032000,10.240000,10.996000,10.996000,1278000
2020-01-03,10.956000,11.102000,10.810000,10.890000,10.890000,879500
2020-01-06,10.838000,10.840000,10.502000,10.770000,10.770000,621000
2020-01-07,10.698000,10.834000,10.560000,10.672000,10.672000,475500
2020-01-08,10.682000,10.932000,10.682000,10.876000,10.876000,773500
2020-01-09,11.000000,11.664000,11.000000,11.134000,11.134000,978500
2020-01-10,11.176000,11.354000,11.070000,11.212000,11.212000,1024000
2020-01-13,11.288000,12.030000,11.280000,11.888000,11.888000,1365500
2020-01-14,11.796000,11.882000,11.542000,11.786000,11.786000,1001000
2020-01-15,11.776000,11.804000,10.996000,11.014000,11.014000,1464000
2020-01-16,11.260000,11.434000,10.582000,10.730000,10.730000,1619500
2020-01-17,10.746000,10.920000,10.482000,10.726000,10.726000,1104500
2020-01-21,10.754000,11.500000,10.734000,11.084000,11.084000,1707500
2020-01-22,11.166000,11.262000,10.578000,10.618000,10.618000,686000
2020-01-23,10.598000,10.718000,10.146000,10.472000,10.472000,878000
2020-01-24,10.484000,10.598000,10.208000,10.262000,10.262000,348000
2020-01-27,10.000000,10.144000,9.944000,10.076000,10.076000,1420000
2020-01-28,10.096000,10.240000,10.060000,10.194000,10.194000,302500
2020-01-29,10.284000,10.764000,10.280000,10.656000,10.656000,1107500
2020-01-30,10.486000,10.500000,10.220000,10.452000,10.452000,1045000
2020-01-31,10.380000,10.398000,10.028000,10.116000,10.116000,657500
2020-02-03,10.146000,10.462000,10.014000,10.378000,10.378000,438500
2020-02-04,10.542000,11.596000,10.500000,11.496000,11.496000,3691000
2020-02-05,11.616000,11.844000,11.280000,11.656000,11.656000,769000
2020-02-06,11.910000,12.766000,11.822000,12.548000,12.548000,1686000
2020-02-07,12.440000,12.440000,11.294000,11.550000,11.550000,1302000
2020-02-10,11.498000,11.844000,11.400000,11.574000,11.574000,528000
2020-02-11,12.832000,13.594000,12.560000,13.348000,13.348000,2936500
2020-02-12,13.420000,15.098000,13.396000,15.050000,15.050000,3662000
2020-02-13,14.800000,14.878000,13.826000,14.296000,14.296000,2022000
2020-02-14,14.370000,14.810000,14.202000,14.512000,14.512000,1517000
2020-02-18,14.512000,14.904000,13.950000,14.716000,14.716000,1397000
2020-02-19,14.928000,15.800000,14.928000,15.528000,15.528000,1478000
2020-02-20,15.528000,16.292000,14.954000,15.304000,15.304000,1852500
2020-02-21,15.178000,15.354000,14.612000,15.242000,15.242000,2699500
2020-02-24,14.364000,15.026000,14.184000,14.576000,14.576000,917500
2020-02-25,14.720000,14.868000,13.864000,14.206000,14.206000,766500
2020-02-26,14.306000,14.658000,13.976000,14.234000,14.234000,501500
2020-02-27,13.838000,13.882000,13.038000,13.394000,13.394000,1389500
2020-02-28,12.700000,13.156000,12.106000,13.114000,13.114000,1650000
2020-03-02,13.212000,13.258000,11.902000,12.980000,12.980000,2289000
2020-03-03,12.978000,13.590000,12.534000,12.646000,12.646000,1407500
2020-03-04,12.876000,13.148000,12.304000,12.664000,12.664000,1043500
2020-03-05,12.378000,13.146000,12.200000,12.334000,12.334000,1597500
2020-03-06,11.934000,12.084000,11.308000,11.800000,11.800000,1336000
2020-03-09,10.672000,10.708000,10.052000,10.146000,10.146000,2491000
2020-03-10,10.950000,11.582000,10.614000,11.370000,11.370000,2343500
2020-03-11,11.800000,12.646000,11.060000,11.540000,11.540000,4382500
2020-03-12,10.588000,11.254000,10.366000,10.570000,10.570000,1834500
2020-03-13,11.400000,11.476000,10.538000,11.330000,11.330000,2039000
2020-03-16,9.590000,11.390000,9.502000,10.520000,10.520000,1696500
