Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,56.400002,57.259998,55.959999,57.240002,57.240002,1053800
2020-01-03,57.110001,57.660000,56.709999,57.020000,57.020000,943700
2020-01-06,56.009998,56.419998,54.779999,55.830002,55.830002,1535100
2020-01-07,55.759998,57.310001,55.759998,56.669998,56.669998,974200
2020-01-08,56.860001,57.110001,56.160000,56.700001,56.700001,725700
2020-01-09,57.070000,58.040001,56.450001,56.700001,56.700001,891700
2020-01-10,56.740002,56.810001,55.830002,56.500000,56.500000,829500
2020-01-13,56.860001,58.349998,56.599998,57.439999,57.439999,1099500
2020-01-14,57.500000,59.099998,57.299999,58.779999,58.779999,997400
2020-01-15,55.209999,55.689999,52.750000,54.750000,54.750000,7532700
2020-01-16,54.029999,54.869999,53.549999,53.930000,53.930000,2181700
2020-01-17,54.049999,54.599998,52.900002,53.520000,53.520000,1768200
2020-01-21,53.480000,53.480000,51.340000,51.549999,51.549999,2687700
2020-01-22,51.830002,51.830002,50.459999,50.560001,50.560001,2342500
2020-01-23,50.459999,52.369999,50.209999,52.020000,52.020000,2175600
2020-01-24,52.610001,53.380001,51.669998,51.939999,51.939999,1729300
2020-01-27,51.139999,51.230000,50.439999,50.490002,50.490002,1288100
2020-01-28,50.720001,51.340000,50.599998,51.110001,51.110001,942100
2020-01-29,51.180000,51.520000,50.730000,50.900002,50.900002,853100
2020-01-30,50.599998,51.099998,50.110001,50.720001,50.720001,884400
2020-01-31,50.599998,50.730000,49.250000,49.580002,49.580002,1054800
2020-02-03,49.880001,50.599998,49.689999,50.240002,50.240002,986800
2020-02-04,51.209999,52.689999,51.009998,52.669998,52.669998,1595100
2020-02-05,53.400002,54.070000,52.599998,53.099998,53.099998,1424500
2020-02-06,53.490002,53.680000,52.610001,52.650002,52.650002,966300
2020-02-07,52.270000,52.779999,52.070000,52.459999,52.459999,704500
2020-02-10,52.480000,53.160000,52.250000,52.750000,52.750000,819300
2020-02-11,53.310001,54.230000,53.160000,53.529999,53.529999,973400
2020-02-12,54.250000,56.169998,54.000000,56.119999,56.119999,2627000
2020-02-13,55.779999,55.779999,53.709999,54.610001,54.610001,1737000
2020-02-14,54.880001,55.439999,54.400002,55.259998,55.259998,651700
2020-02-18,55.540001,56.169998,55.020000,55.650002,55.650002,1407300
2020-02-19,56.160000,58.000000,56.009998,57.369999,57.369999,1945600
2020-02-20,58.259998,59.900002,56.910000,59.320000,59.320000,4156500
2020-02-21,53.000000,53.389999,50.270000,50.590000,50.590000,9772800
2020-02-24,48.270000,51.380001,48.029999,51.209999,51.209999,3700800
2020-02-25,51.799999,51.869999,48.480000,48.570000,48.570000,2807200
2020-02-26,48.799999,49.540001,46.040001,46.110001,46.110001,2668300
2020-02-27,44.680000,46.160000,43.340000,44.250000,44.250000,2699300
2020-02-28,42.549999,46.660000,42.500000,45.770000,45.770000,2950500
2020-03-02,45.880001,46.220001,43.570000,44.950001,44.950001,2730400
2020-03-03,45.209999,46.110001,43.619999,44.209999,44.209999,1569500
2020-03-04,44.930000,45.580002,43.889999,45.480000,45.480000,1340100
2020-03-05,44.560001,46.180000,44.270000,45.470001,45.470001,1259100
2020-03-06,44.040001,44.880001,42.720001,43.369999,43.369999,1448700
2020-03-09,39.990002,41.250000,38.900002,39.150002,39.150002,1638800
2020-03-10,40.500000,41.180000,39.299999,41.080002,41.080002,2704200
2020-03-11,40.000000,40.580002,36.439999,37.230000,37.230000,2513300
2020-03-12,34.180000,37.529999,33.000000,36.560001,36.560001,2691400
2020-03-13,38.849998,39.639999,34.139999,35.959999,35.959999,1718900
2020-03-16,31.900000,35.000000,30.700001,31.540001,31.540001,2999500
2020-03-17,32.200001,34.900002,29.570000,32.259998,32.259998,3516000
2020-03-18,30.240000,32.110001,28.469999,30.200001,30.200001,2525300
2020-03-19,30.010000,34.970001,29.150000,33.459999,33.459999,1782300
2020-03-20,34.389999,35.820000,32.419998,33.689999,33.689999,2789500
2020-03-23,33.750000,34.250000,30.690001,33.070000,33.070000,2147000
2020-03-24,34.810001,35.259998,32.549999,33.709999,33.709999,1734700
2020-03-25,34.180000,37.139999,33.400002,34.790001,34.790001,1947900
2020-03-26,35.490002,37.970001,35.099998,37.619999,37.619999,1682500
2020-03-27,36.049999,36.990002,34.599998,35.630001,35.630001,1752700
2020-03-30,37.169998,37.169998,34.310001,36.060001,36.060001,1158700
2020-03-31,36.119999,36.900002,35.000000,36.060001,36.060001,1248800
2020-04-01,34.750000,34.900002,33.000000,33.439999,33.439999,1002500
2020-04-02,33.560001,36.330002,33.380001,35.310001,35.310001,1865300
2020-04-03,35.119999,36.299999,34.119999,34.380001,34.380001,1105100
2020-04-06,35.259998,37.410000,35.000000,36.750000,36.750000,2038400
2020-04-07,38.000000,38.889999,37.130001,37.349998,37.349998,1270100
2020-04-08,37.810001,39.060001,36.590000,38.900002,38.900002,1137200
2020-04-09,39.099998,41.009998,39.099998,40.450001,40.450001,1368800
2020-04-13,40.310001,40.930000,39.639999,40.610001,40.610001,1024900
2020-04-14,41.680000,42.840000,41.090000,42.119999,42.119999,1070300
2020-04-15,41.000000,41.680000,40.509998,40.930000,40.930000,949000
2020-04-16,41.610001,41.840000,39.700001,40.150002,40.150002,1922800
2020-04-17,41.639999,42.400002,41.180000,42.200001,42.200001,1433800
2020-04-20,41.770000,42.279999,40.889999,41.000000,41.000000,1406400
2020-04-21,40.160000,40.880001,38.959999,39.180000,39.180000,1262400
2020-04-22,40.439999,40.529999,39.599998,40.230000,40.230000,931100
2020-04-23,40.610001,42.439999,40.299999,42.290001,42.290001,1838900
2020-04-24,42.369999,42.840000,40.570000,40.840000,40.840000,1607200
2020-04-27,41.060001,43.419998,41.060001,43.259998,43.259998,1270200
2020-04-28,43.689999,44.400002,41.750000,41.770000,41.770000,1310700
2020-04-29,43.029999,45.680000,42.299999,45.549999,45.549999,1197800
2020-04-30,44.490002,44.900002,43.750000,44.009998,44.009998,1367000
2020-05-01,42.500000,43.400002,41.580002,41.980000,41.980000,1129700
2020-05-04,41.840000,43.450001,41.320000,43.400002,43.400002,1193200
2020-05-05,44.930000,44.930000,42.840000,43.099998,43.099998,949900
2020-05-06,43.580002,44.599998,43.070000,43.119999,43.119999,1165300
2020-05-07,43.599998,44.759998,43.470001,44.660000,44.660000,1295700
2020-05-08,45.400002,45.500000,43.400002,44.160000,44.160000,2019100
2020-05-11,43.549999,44.060001,42.450001,42.869999,42.869999,1662000
2020-05-12,43.369999,43.400002,40.299999,40.349998,40.349998,1788900
2020-05-13,40.500000,41.169998,39.009998,39.430000,39.430000,2191900
2020-05-14,38.799999,39.959999,37.919998,39.790001,39.790001,1272100
2020-05-15,38.720001,39.369999,38.590000,39.369999,39.369999,1056800
2020-05-18,40.709999,42.490002,40.700001,42.369999,42.369999,2256000
2020-05-19,42.349998,44.970001,42.110001,43.230000,43.230000,1674800
2020-05-20,43.599998,45.029999,43.509998,43.939999,43.939999,965000
2020-05-21,43.770000,44.700001,43.509998,43.759998,43.759998,865500
2020-05-22,43.919998,43.959999,43.180000,43.470001,43.470001,569700
2020-05-26,45.000000,46.830002,44.759998,46.560001,46.560001,1425300
2020-05-27,47.380001,47.599998,44.860001,46.610001,46.610001,1259200
2020-05-28,46.500000,47.139999,45.270000,45.520000,45.520000,1054800
2020-05-29,45.169998,46.779999,45.070000,46.619999,46.619999,968600
2020-06-01,46.500000,48.529999,46.259998,48.009998,48.009998,1083800
2020-06-02,48.099998,49.189999,47.540001,47.900002,47.900002,1187800
2020-06-03,49.110001,49.950001,48.310001,49.500000,49.500000,1200600
2020-06-04,49.549999,49.970001,49.250000,49.610001,49.610001,1046300
2020-06-05,50.000000,51.970001,50.000000,51.380001,51.380001,1501500
2020-06-08,51.990002,54.500000,51.650002,54.439999,54.439999,1110600
