Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,5.173543,5.173543,5.029470,5.127701,5.127701,2764786
2020-01-03,5.062213,5.094957,4.813360,4.826457,4.826457,7053366
2020-01-06,4.734774,4.937787,4.643091,4.891945,4.891945,5552325
2020-01-07,4.905043,5.094957,4.833006,5.003274,5.003274,3223344
2020-01-08,4.963982,5.101506,4.885396,5.029470,5.029470,4496252
2020-01-09,5.062213,5.258677,5.049116,5.166994,5.166994,3739318
2020-01-10,5.186640,5.206287,5.042567,5.068762,5.068762,2571773
2020-01-13,5.049116,5.579568,5.049116,5.507531,5.507531,8055841
2020-01-14,5.553373,5.821873,5.448592,5.664702,5.664702,9383415
2020-01-15,5.631958,5.703995,5.337263,5.651604,5.651604,6904789
2020-01-16,5.697446,5.854617,5.684348,5.756385,5.756385,4150386
2020-01-17,5.808775,5.874263,5.690897,5.743287,5.743287,3855980
2020-01-21,5.776031,5.828422,5.599214,5.743287,5.743287,4209481
2020-01-22,5.776031,5.874263,5.658153,5.710544,5.710544,3218153
2020-01-23,5.789129,6.057629,5.651604,5.933202,5.933202,5438563
2020-01-24,5.959398,6.011788,5.664702,5.749836,5.749836,4394401
2020-01-27,5.566470,5.573019,5.370007,5.494434,5.494434,3687094
2020-01-28,5.546824,5.710544,5.527177,5.671251,5.671251,2347457
2020-01-29,5.697446,5.828422,5.631958,5.671251,5.671251,3245486
2020-01-30,5.631958,5.880812,5.586117,5.717092,5.717092,3921794
2020-01-31,5.677800,5.717092,5.546824,5.579568,5.579568,3453158
2020-02-03,5.605763,5.776031,5.599214,5.749836,5.749836,3145162
2020-02-04,5.848068,6.168959,5.821873,6.077276,6.077276,5088880
2020-02-05,6.201703,6.476752,6.103471,6.240995,6.240995,5406038
2020-02-06,6.391618,6.483301,6.221349,6.411264,6.411264,5091323
2020-02-07,6.424361,6.607728,6.149312,6.234447,6.234447,6879593
2020-02-10,6.299935,6.398166,6.031434,6.221349,6.221349,4838910
2020-02-11,6.280288,6.529142,6.280288,6.476752,6.476752,5591263
2020-02-12,6.686313,7.321546,6.614276,7.164375,7.164375,14717990
2020-02-13,6.378520,6.385069,5.730190,5.776031,5.776031,21373266
2020-02-14,5.861166,5.880812,5.409299,5.461690,5.461690,13485090
2020-02-18,5.422397,6.051081,5.343811,6.031434,6.031434,13248405
2020-02-19,6.273739,7.053045,6.240995,6.823838,6.823838,18105486
2020-02-20,6.797642,7.092338,6.574984,7.000655,7.000655,11465632
2020-02-21,6.823838,6.823838,6.489849,6.679764,6.679764,7410378
2020-02-24,6.182056,6.640472,6.044532,6.509496,6.509496,7497723
2020-02-25,6.529142,6.614276,6.110020,6.227898,6.227898,7063749
2020-02-26,6.188605,6.385069,5.749836,5.815324,5.815324,7230192
2020-02-27,5.586117,5.736739,5.317616,5.474787,5.474787,8108370
2020-02-28,5.271775,5.658153,5.114604,5.612312,5.612312,9701336
2020-03-02,5.697446,5.723641,5.356909,5.710544,5.710544,6319948
2020-03-03,5.834971,6.044532,5.703995,5.834971,5.834971,7801443
2020-03-04,5.933202,6.051081,5.776031,6.044532,6.044532,5519494
2020-03-05,5.887361,6.162410,5.828422,6.123117,6.123117,6618323
2020-03-06,5.913556,6.064178,5.507531,5.599214,5.599214,6828439
2020-03-09,5.114604,5.206287,4.485920,4.505566,4.505566,8804987
2020-03-10,4.800262,4.833006,4.184676,4.499018,4.499018,7728452
2020-03-11,4.335298,4.466274,4.027505,4.073346,4.073346,8460038
2020-03-12,3.641126,3.660773,3.176162,3.313687,3.313687,12394659
2020-03-13,3.621480,3.673870,3.202358,3.313687,3.313687,8239234
2020-03-16,2.940406,3.136870,2.639162,2.940406,2.940406,7333418
2020-03-17,2.986248,3.700065,2.783235,3.510151,3.510151,9340201
2020-03-18,3.202358,3.621480,3.032089,3.222004,3.222004,8949136
2020-03-19,3.215455,3.922724,3.123772,3.641126,3.641126,7179343
2020-03-20,3.837590,4.020956,3.483955,3.804846,3.804846,12619281
2020-03-23,3.857236,4.099542,3.608382,4.034054,4.034054,8130359
2020-03-24,4.315652,4.531762,4.184676,4.440079,4.440079,7823279
2020-03-25,4.512115,4.826457,4.204322,4.368042,4.368042,10577834
2020-03-26,4.420432,4.492469,4.086444,4.178127,4.178127,8206251
2020-03-27,3.994761,4.001310,3.562541,3.582187,3.582187,8003771
2020-03-30,3.667322,3.667322,3.438114,3.529797,3.529797,6095937
2020-03-31,3.523248,3.595285,3.280943,3.320236,3.320236,6786141
2020-04-01,3.235102,3.241650,2.953504,3.104126,3.104126,7348688
2020-04-02,3.104126,3.398821,3.084479,3.208906,3.208906,5123238
2020-04-03,3.071382,3.228553,3.018991,3.097577,3.097577,7351589
2020-04-06,3.274394,3.667322,3.274394,3.634578,3.634578,7018703
2020-04-07,3.831041,3.935822,3.673870,3.706614,3.706614,5481930
2020-04-08,3.798297,3.948919,3.667322,3.876883,3.876883,4030058
2020-04-09,3.962017,4.165029,3.955468,4.119188,4.119188,5442075
2020-04-13,4.079895,4.230517,3.929273,4.197773,4.197773,3976613
2020-04-14,4.322200,4.479371,4.250164,4.368042,4.368042,4081213
2020-04-15,4.158481,4.282908,4.060249,4.243615,4.243615,3022544
2020-04-16,4.302554,4.426981,4.073346,4.237066,4.237066,3257549
2020-04-17,4.381139,4.466274,4.289456,4.368042,4.368042,4838452
2020-04-20,4.230517,4.315652,4.092993,4.125737,4.125737,4621160
2020-04-21,4.099542,4.171578,3.929273,4.027505,4.027505,3448882
2020-04-22,4.158481,4.217420,4.079895,4.178127,4.178127,2187886
2020-04-23,4.243615,4.571054,4.223969,4.479371,4.479371,4443417
2020-04-24,4.485920,4.525213,4.250164,4.374591,4.374591,2653468
2020-04-27,4.420432,4.616896,4.394237,4.505566,4.505566,3363981
2020-04-28,4.584152,4.721676,4.485920,4.656189,4.656189,3458197
2020-04-29,4.780616,5.075311,4.754420,5.062213,5.062213,3959969
2020-04-30,4.944335,4.990177,4.800262,4.813360,4.813360,3613187
2020-05-01,4.616896,4.669286,4.413883,4.485920,4.485920,3580052
2020-05-04,4.400786,4.669286,4.374591,4.662737,4.662737,2380746
2020-05-05,4.846103,4.977079,4.715128,4.715128,4.715128,3678238
2020-05-06,4.774067,5.016372,4.728225,4.918140,4.918140,3982111
2020-05-07,4.944335,4.996726,4.702030,4.754420,4.754420,4809439
2020-05-08,5.245580,5.468238,4.983628,5.049116,5.049116,10320993
2020-05-11,4.950884,5.121153,4.813360,4.826457,4.826457,3993410
2020-05-12,4.878847,4.983628,4.629993,4.629993,4.629993,4310568
2020-05-13,4.695481,4.787164,4.341847,4.459725,4.459725,7273865
2020-05-14,4.328749,4.381139,3.994761,4.237066,4.237066,8256336
2020-05-15,4.138834,4.210871,4.034054,4.151932,4.151932,3433612
2020-05-18,4.354944,4.715128,4.302554,4.695481,4.695481,5449863
2020-05-19,4.675835,5.049116,4.656189,4.891945,4.891945,6019281
2020-05-20,5.036018,5.140799,4.557957,4.675835,4.675835,5963088
2020-05-21,4.643091,4.760969,4.466274,4.499018,4.499018,4691860
2020-05-22,4.512115,4.544859,4.387688,4.400786,4.400786,2966808
2020-05-26,4.577603,4.911591,4.571054,4.767518,4.767518,5001841
2020-05-27,4.852652,4.937787,4.499018,4.774067,4.774067,4427537
2020-05-28,4.774067,4.865750,4.571054,4.597250,4.597250,3416204
2020-05-29,4.584152,4.747872,4.518664,4.728225,4.728225,3384901
2020-06-01,4.702030,4.878847,4.656189,4.846103,4.846103,4400814
2020-06-02,4.852652,4.996726,4.760969,4.826457,4.826457,3932025
2020-06-03,4.898494,5.108055,4.846103,5.094957,5.094957,3718398
2020-06-04,5.094957,5.193189,4.872299,4.970530,4.970530,4425704
2020-06-05,5.036018,5.370007,4.996726,5.239031,5.239031,4451663
2020-06-08,5.337263,5.854617,5.252128,5.841519,5.841519,5136370
2020-06-09,5.651604,5.671251,5.140799,5.284872,5.284872,6900818
2020-06-10,5.324165,5.370007,4.950884,5.003274,5.003274,4622382
2020-06-11,4.682384,4.865750,4.564506,4.584152,4.584152,5802447
2020-06-12,4.793713,4.865750,4.557957,4.826457,4.826457,5417033
2020-06-15,4.643091,4.859201,4.590701,4.819908,4.819908,3997991
2020-06-16,5.042567,5.134250,4.885396,5.022921,5.022921,5354273
2020-06-17,5.140799,5.140799,4.564506,4.610347,4.610347,7560482
2020-06-18,4.616896,4.846103,4.590701,4.636542,4.636542,7339373
2020-06-19,4.708579,5.160445,4.688933,4.767518,4.767518,12843750
2020-06-22,4.754420,4.780616,4.597250,4.675835,4.675835,4508926
2020-06-23,4.728225,4.924689,4.682384,4.885396,4.885396,3959358
2020-06-24,4.793713,4.865750,4.531762,4.734774,4.734774,5187066
2020-06-25,4.708579,5.055665,4.669286,5.042567,5.042567,5371375
2020-06-26,4.977079,5.049116,4.708579,4.721676,4.721676,6369728
2020-06-29,4.787164,4.977079,4.747872,4.891945,4.891945,3425977
2020-06-30,4.885396,5.343811,4.885396,5.016372,5.016372,6632830
2020-07-01,4.977079,5.075311,4.865750,4.996726,4.996726,2997348
2020-07-02,5.193189,5.278324,4.970530,5.081860,5.081860,3571653
2020-07-06,5.206287,5.664702,5.193189,5.553373,5.553373,6900360
2020-07-07,5.507531,5.821873,5.415848,5.638507,5.638507,6547471
2020-07-08,5.658153,6.234447,5.618861,6.168959,6.168959,7564300
2020-07-09,6.326130,6.915521,6.168959,6.404715,6.404715,13197403
2020-07-10,6.339227,6.430910,5.952849,6.044532,6.044532,5580727
2020-07-13,6.142764,6.352325,5.802227,5.874263,5.874263,6374614
2020-07-14,5.756385,6.653569,5.743287,6.463654,6.463654,9943061
2020-07-15,6.876228,7.125082,6.483301,6.941716,6.941716,11455249
2020-07-16,6.850033,6.935167,6.352325,6.411264,6.411264,9186585
2020-07-17,6.496398,6.574984,6.077276,6.293386,6.293386,7530248
2020-07-20,6.385069,6.981009,6.339227,6.777996,6.777996,8489051
2020-07-21,6.797642,6.863130,6.299935,6.411264,6.411264,6419355
2020-07-22,6.398166,6.535691,6.260642,6.457105,6.457105,4070371
2020-07-23,6.476752,6.791094,6.378520,6.627374,6.627374,6084484
2020-07-24,6.502947,6.581532,6.240995,6.378520,6.378520,3737333
2020-07-27,6.450557,6.994106,6.398166,6.981009,6.981009,5463148
2020-07-28,6.908972,6.941716,6.378520,6.411264,6.411264,6765221
2020-07-29,6.424361,6.614276,6.358874,6.378520,6.378520,4952214
2020-07-30,6.299935,6.378520,6.031434,6.247544,6.247544,5931632
2020-07-31,6.221349,6.221349,5.979044,6.110020,6.110020,4879987
2020-08-03,6.168959,6.535691,6.142764,6.483301,6.483301,4910679
2020-08-04,6.614276,7.491814,6.588081,7.275704,7.275704,11606574
2020-08-05,7.314997,7.635887,7.020301,7.531107,7.531107,8423085
2020-08-06,7.236411,7.786509,7.053045,7.308448,7.308448,7982851
2020-08-07,7.308448,8.074656,7.177472,7.766863,7.766863,10623186
2020-08-10,7.865095,8.218730,7.845449,7.943680,7.943680,7608125
2020-08-11,7.969876,7.976424,7.491814,7.616241,7.616241,5526060
2020-08-12,7.662083,8.133595,7.655534,7.799607,7.799607,8200448
2020-08-13,7.819253,8.009168,7.485265,7.629339,7.629339,11691476
2020-08-14,7.583497,7.668631,7.347741,7.432875,7.432875,4209023
2020-08-17,7.465619,7.694826,7.413229,7.518009,7.518009,3915992
2020-08-18,7.531107,7.740668,7.387033,7.694826,7.694826,3549817
2020-08-19,7.701375,8.388998,7.688278,7.799607,7.799607,9323557
2020-08-20,7.832351,7.858546,7.314997,7.354289,7.354289,5337629
2020-08-21,7.367387,7.681729,7.347741,7.662083,7.662083,4249641
2020-08-24,7.786509,8.120498,7.707924,7.956778,7.956778,5108731
2020-08-25,7.989522,8.742633,7.871644,8.696791,8.696791,9076641
2020-08-26,8.775377,9.462999,8.683694,8.919450,8.919450,12544000
2020-08-27,11.120000,12.340000,10.500000,11.050000,11.050000,15427400
2020-08-28,11.300000,11.840000,10.540000,11.430000,11.430000,12020100
2020-08-31,11.560000,11.740000,10.810000,11.190000,11.190000,7463700
2020-09-01,11.250000,12.460000,11.220000,11.930000,11.930000,8911300
2020-09-02,12.020000,12.390000,11.260000,12.050000,12.050000,5142000
2020-09-03,12.020000,12.090000,10.970000,11.220000,11.220000,5513700
2020-09-04,11.300000,11.400000,9.950000,11.090000,11.090000,6648000
2020-09-08,10.600000,11.420000,10.540000,10.990000,10.990000,4205400
2020-09-09,11.330000,11.820000,11.220000,11.730000,11.730000,3581000
2020-09-10,11.790000,11.890000,10.470000,10.660000,10.660000,7407000
2020-09-11,10.990000,11.380000,10.450000,10.640000,10.640000,5111700
2020-09-14,10.750000,10.990000,10.350000,10.970000,10.970000,4463500
2020-09-15,11.100000,11.240000,10.850000,11.020000,11.020000,4175300
2020-09-16,11.100000,11.420000,10.650000,10.690000,10.690000,5557000
2020-09-17,10.400000,10.410000,9.880000,9.890000,9.890000,4450300
2020-09-18,10.240000,10.400000,10.020000,10.110000,10.110000,8583300
2020-09-21,9.810000,10.070000,9.650000,10.030000,10.030000,2780200
2020-09-22,10.210000,10.320000,9.900000,10.170000,10.170000,2866900
2020-09-23,10.190000,10.810000,10.170000,10.210000,10.210000,5066700
2020-09-24,10.070000,10.420000,9.540000,10.140000,10.140000,3502100
2020-09-25,10.140000,10.750000,10.030000,10.660000,10.660000,3806700
2020-09-28,10.910000,12.340000,10.910000,11.700000,11.700000,13214400
2020-09-29,11.720000,12.910000,11.510000,11.960000,11.960000,14427900
2020-09-30,12.100000,13.390000,12.100000,12.510000,12.510000,11156600
2020-10-01,12.850000,13.540000,12.400000,13.360000,13.360000,9342800
2020-10-02,12.870000,14.060000,12.800000,13.560000,13.560000,7140400
2020-10-05,13.970000,15.940000,13.920000,15.560000,15.560000,14090000
2020-10-06,15.840000,16.400000,14.680000,15.610000,15.610000,14806600
2020-10-07,16.180000,18.170000,16.170000,17.330000,17.330000,18551000
2020-10-08,18.100000,18.250000,16.660000,16.889999,16.889999,13043100
2020-10-09,16.910000,17.950001,16.530001,17.430000,17.430000,9002000
2020-10-12,17.660000,17.680000,15.500000,16.520000,16.520000,15173800
2020-10-13,16.010000,17.129999,15.700000,16.660000,16.660000,8979800
2020-10-14,16.790001,17.190001,16.469999,16.870001,16.870001,7288300
2020-10-15,16.270000,17.080000,16.010000,16.980000,16.980000,6065000
2020-10-16,17.280001,17.969999,16.570000,16.969999,16.969999,14516900
2020-10-19,17.280001,19.379999,16.790001,17.520000,17.520000,18665400
2020-10-20,17.700001,18.360001,17.090000,17.690001,17.690001,11920800
2020-10-21,17.740000,18.200001,15.950000,16.120001,16.120001,10667500
2020-10-22,16.090000,16.590000,15.020000,16.410000,16.410000,13125200
2020-10-23,16.840000,17.180000,15.980000,16.860001,16.860001,8655700
2020-10-26,16.180000,16.830000,15.850000,16.420000,16.420000,9393000
2020-10-27,15.850000,16.280001,15.130000,15.490000,15.490000,9028900
2020-10-28,15.590000,16.780001,15.430000,16.200001,16.200001,9640400
2020-10-29,15.890000,17.250000,15.880000,16.389999,16.389999,9843600
2020-10-30,16.299999,16.440001,15.250000,15.990000,15.990000,6575800
2020-11-02,16.020000,16.930000,15.770000,16.850000,16.850000,8173600
