CSIQ,FSLR,ENPH,DQ,JKS,SEDG,SPWR
22.52,57.240002,29.34,10.996,23.84,5.127701,5.127701
21.799999,57.02,29.290001,10.89,22.59,4.826457,4.826457
22.32,55.830002,29.66,10.77,22.49,4.891945,4.891945
22.360001,56.669998,29.99,10.672,22.74,5.003274,5.003274
22.57,56.700001,31.0,10.876,22.23,5.02947,5.02947
22.889999,56.700001,31.59,11.134,22.780001,5.166994,5.166994
22.549999,56.5,30.67,11.212,22.540001,5.068762,5.068762
23.059999,57.439999,30.790001,11.888,23.09,5.507531,5.507531
23.450001,58.779999,30.200001,11.786,24.35,5.664702,5.664702
23.280001,54.75,30.16,11.014,23.200001,5.651604,5.651604
23.02,53.93,30.83,10.73,22.620001,5.756385,5.756385
22.41,53.52,31.5,10.726,22.83,5.743287,5.743287
22.01,51.549999,31.26,11.084,22.209999,5.743287,5.743287
21.77,50.560001,31.620001,10.618,21.200001,5.710544,5.710544
21.389999,52.02,32.07,10.472,20.719999,5.933202,5.933202
21.08,51.939999,32.700001,10.262,20.389999,5.749836,5.749836
20.209999,50.490002,29.950001,10.076,19.389999,5.494434,5.494434
20.719999,51.110001,32.240002,10.194,19.66,5.671251,5.671251
20.5,50.900002,32.560001,10.656,19.6,5.671251,5.671251
20.5,50.720001,33.490002,10.452,19.440001,5.717092,5.717092
20.049999,49.580002,31.52,10.116,18.700001,5.579568,5.579568
20.620001,50.240002,32.919998,10.378,19.360001,5.749836,5.749836
21.299999,52.669998,36.900002,11.496,20.51,6.077276,6.077276
21.66,53.099998,36.91,11.656,21.540001,6.240995,6.240995
21.85,52.650002,38.389999,12.548,22.25,6.411264,6.411264
21.219999,52.459999,38.049999,11.55,21.639999,6.234447,6.234447
21.370001,52.75,38.610001,11.574,21.690001,6.221349,6.221349
22.84,53.529999,39.66,13.348,25.74,6.476752,6.476752
24.129999,56.119999,41.5,15.05,28.639999,7.164375,7.164375
23.92,54.610001,41.34,14.296,25.73,5.776031,5.776031
23.32,55.259998,41.09,14.512,25.5,5.46169,5.46169
23.51,55.650002,40.169998,14.716,25.66,6.031434,6.031434
24.639999,57.369999,57.220001,15.528,28.219999,6.823838,6.823838
24.469999,59.32,58.740002,15.304,28.24,7.000655,7.000655
23.01,50.59,59.09,15.242,27.209999,6.679764,6.679764
21.799999,51.209999,55.259998,14.576,26.549999,6.509496,6.509496
21.85,48.57,50.900002,14.206,25.83,6.227898,6.227898
21.67,46.110001,51.869999,14.234,25.42,5.815324,5.815324
20.629999,44.25,48.759998,13.394,23.59,5.474787,5.474787
20.4,45.77,48.970001,13.114,22.84,5.612312,5.612312
20.610001,44.950001,51.400002,12.98,22.889999,5.710544,5.710544
20.91,44.209999,52.369999,12.646,21.9,5.834971,5.834971
21.469999,45.48,53.470001,12.664,22.6,6.044532,6.044532
21.5,45.470001,56.689999,12.334,23.0,6.123117,6.123117
20.309999,43.369999,53.049999,11.8,22.190001,5.599214,5.599214
17.35,39.150002,43.380001,10.146,18.35,4.505566,4.505566
18.209999,41.080002,45.59,11.37,19.25,4.499018,4.499018
17.889999,37.23,41.73,11.54,19.0,4.073346,4.073346
16.280001,36.560001,33.02,10.57,17.809999,3.313687,3.313687
16.799999,35.959999,32.860001,11.33,17.41,3.313687,3.313687
13.24,31.540001,27.450001,10.52,12.36,2.940406,2.940406
14.8,32.259998,29.280001,11.07,13.55,3.510151,3.510151
13.47,30.200001,23.99,8.566,12.51,3.222004,3.222004
14.06,33.459999,26.25,9.732,13.02,3.641126,3.641126
14.71,33.689999,26.0,9.116,13.32,3.804846,3.804846
14.43,33.07,27.51,8.896,13.92,4.034054,4.034054
15.4,33.709999,34.34,11.384,16.75,4.440079,4.440079
15.45,34.790001,36.810001,11.964,16.48,4.368042,4.368042
17.42,37.619999,36.130001,11.926,17.290001,4.178127,4.178127
15.28,35.630001,32.380001,10.756,14.85,3.582187,3.582187
15.64,36.060001,32.0,11.118,14.93,3.529797,3.529797
15.91,36.060001,32.290001,11.584,14.85,3.320236,3.320236
14.74,33.439999,29.77,10.09,13.6,3.104126,3.104126
15.29,35.310001,29.92,10.818,14.18,3.208906,3.208906
14.9,34.380001,28.690001,10.284,14.07,3.097577,3.097577
16.370001,36.75,34.049999,10.536,14.9,3.634578,3.634578
16.18,37.349998,35.040001,10.038,15.23,3.706614,3.706614
16.889999,38.900002,37.93,10.624,15.7,3.876883,3.876883
16.879999,40.450001,38.060001,9.982,15.93,4.119188,4.119188
17.08,40.610001,37.779999,10.552,16.57,4.197773,4.197773
17.75,42.119999,41.400002,10.46,17.08,4.368042,4.368042
17.190001,40.93,39.610001,9.954,16.41,4.243615,4.243615
16.780001,40.150002,38.790001,9.644,16.18,4.237066,4.237066
17.299999,42.200001,38.959999,9.338,16.57,4.368042,4.368042
16.780001,41.0,39.009998,9.584,15.91,4.125737,4.125737
15.87,39.18,35.509998,8.932,14.8,4.027505,4.027505
